Age,Date,Tm,Home,Opp,Win,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
34-055,2019-02-23,LAL,A,NOP,L,1,39,11,17,.647,8,11,.727,3,6,.500,2,6,.333,0,7,7,12,4,1,4,0,27,29.1
34-057,2019-02-25,LAL,A,MEM,L,1,40,8,23,.348,8,19,.421,0,4,.000,8,10,.800,3,9,12,11,3,0,5,3,24,19.6
34-059,2019-02-27,LAL,H,NOP,W,1,37,13,24,.542,9,15,.600,4,9,.444,3,8,.375,1,5,6,10,2,1,2,2,33,28.5
34-061,2019-03-01,LAL,H,MIL,L,1,39,10,19,.526,7,11,.636,3,8,.375,8,10,.800,2,5,7,10,1,0,3,2,31,28.0
34-062,2019-03-02,LAL,A,PHO,L,1,41,10,21,.476,6,12,.500,4,9,.444,3,7,.429,0,9,9,16,0,0,3,2,27,24.8
34-064,2019-03-04,LAL,H,LAC,L,1,42,9,18,.500,8,12,.667,1,6,.167,8,12,.667,0,8,8,6,1,1,2,3,27,21.5
34-066,2019-03-06,LAL,H,DEN,L,1,31,13,22,.591,11,15,.733,2,7,.286,3,8,.375,0,7,7,7,1,1,4,4,31,21.9
34-069,2019-03-09,LAL,H,BOS,L,1,28,13,23,.565,12,18,.667,1,5,.200,3,7,.429,2,8,10,12,0,0,3,0,30,26.7
34-072,2019-03-12,LAL,A,CHI,W,1,33,15,23,.652,13,19,.684,2,4,.500,4,5,.800,1,9,10,4,2,0,5,2,36,27.9
34-074,2019-03-14,LAL,A,TOR,L,1,32,12,23,.522,11,18,.611,1,5,.200,4,7,.571,0,4,4,6,1,0,4,2,29,18.1
34-077,2019-03-17,LAL,A,NYK,L,1,35,11,26,.423,11,20,.550,0,6,.000,11,13,.846,2,4,6,8,0,1,2,2,33,24.5
34-082,2019-03-22,LAL,H,BRK,L,1,37,8,25,.320,7,18,.389,1,7,.143,8,12,.667,3,6,9,14,1,1,8,3,25,15.3
34-084,2019-03-24,LAL,H,SAC,W,1,35,9,22,.409,6,16,.375,3,6,.500,8,9,.889,2,9,11,11,2,1,4,1,29,26.9
34-086,2019-03-26,LAL,H,WAS,W,1,34,11,20,.550,10,14,.714,1,6,.167,0,2,.000,0,7,7,14,1,0,3,1,23,22.1
34-089,2019-03-29,LAL,H,CHO,W,1,32,11,19,.579,7,12,.583,4,7,.571,1,2,.500,0,3,3,9,0,0,6,1,27,18.5
34-301,2019-10-27,LAL,H,CHO,W,1,35,7,14,.500,6,11,.545,1,3,.333,5,5,1.000,1,5,6,12,1,0,4,0,20,20.6
34-303,2019-10-29,LAL,H,MEM,W,1,28,8,15,.533,6,10,.600,2,5,.400,5,7,.714,0,2,2,8,0,1,6,0,23,15.8
34-306,2019-11-01,LAL,A,DAL,W,1,43,13,23,.565,9,14,.643,4,9,.444,9,11,.818,0,12,12,16,4,1,4,5,39,40.8
34-308,2019-11-03,LAL,A,SAS,W,1,37,8,23,.348,8,17,.471,0,6,.000,5,10,.500,1,10,11,13,2,1,5,2,21,15.8
34-310,2019-11-05,LAL,A,CHI,W,1,35,10,19,.526,8,13,.615,2,6,.333,8,9,.889,0,10,10,11,2,1,2,3,30,30.5
34-313,2019-11-08,LAL,H,MIA,W,1,36,10,19,.526,6,12,.500,4,7,.571,1,2,.500,1,3,4,6,0,0,3,2,25,17.3
34-315,2019-11-10,LAL,H,TOR,L,1,35,5,15,.333,5,13,.385,0,2,.000,3,6,.500,3,10,13,15,0,1,2,0,13,17.6
34-317,2019-11-12,LAL,A,PHO,W,1,37,8,18,.444,7,14,.500,1,4,.250,2,7,.286,0,7,7,11,0,0,1,0,19,16.4
34-318,2019-11-13,LAL,H,GSW,W,1,26,11,21,.524,10,16,.625,1,5,.200,0,1,.000,2,4,6,12,1,1,4,1,23,20.6
34-320,2019-11-15,LAL,H,SAC,W,1,39,10,20,.500,8,13,.615,2,7,.286,7,7,1.000,3,1,4,11,3,0,2,1,29,29.7
34-322,2019-11-17,LAL,H,ATL,W,1,33,13,21,.619,7,11,.636,6,10,.600,1,1,1.000,0,7,7,12,1,1,0,1,33,35.3
34-324,2019-11-19,LAL,H,OKC,W,1,37,10,21,.476,8,16,.500,2,5,.400,3,5,.600,0,11,11,10,2,0,7,2,25,18.0
34-327,2019-11-22,LAL,A,OKC,W,1,36,9,20,.450,8,17,.471,1,3,.333,4,6,.667,1,5,6,14,1,1,5,2,23,19.7
34-328,2019-11-23,LAL,A,MEM,W,1,39,14,27,.519,12,18,.667,2,9,.222,0,0,,1,5,6,4,2,0,5,1,30,18.3
34-330,2019-11-25,LAL,A,SAS,W,1,35,13,24,.542,9,17,.529,4,7,.571,3,8,.375,1,3,4,14,0,1,3,2,33,27.7
34-332,2019-11-27,LAL,A,NOP,W,1,38,10,18,.556,8,12,.667,2,6,.333,7,11,.636,2,3,5,11,2,1,5,2,29,25.7
34-334,2019-11-29,LAL,H,WAS,W,1,25,9,16,.563,5,8,.625,4,8,.500,1,2,.500,0,3,3,11,2,1,6,1,23,19.9
34-336,2019-12-01,LAL,H,DAL,L,1,36,11,20,.550,11,15,.733,0,5,.000,3,3,1.000,0,9,9,8,4,0,6,3,25,20.5
34-338,2019-12-03,LAL,A,DEN,W,1,37,9,18,.500,8,14,.571,1,4,.250,6,6,1.000,2,4,6,9,0,0,4,3,25,19.7
34-339,2019-12-04,LAL,A,UTA,W,1,29,9,21,.429,8,15,.533,1,6,.167,1,1,1.000,0,4,4,12,1,0,1,3,20,17.3
34-341,2019-12-06,LAL,A,POR,W,1,34,11,23,.478,7,14,.500,4,9,.444,5,7,.714,1,6,7,8,0,1,3,1,31,23.9
34-343,2019-12-08,LAL,H,MIN,W,1,28,12,20,.600,6,12,.500,6,8,.750,2,2,1.000,1,3,4,13,1,0,5,4,32,27.9
34-346,2019-12-11,LAL,A,ORL,W,1,38,11,24,.458,10,18,.556,1,6,.167,2,5,.400,2,9,11,10,2,0,6,2,25,17.7
34-348,2019-12-13,LAL,A,MIA,W,1,37,11,22,.500,7,14,.500,4,8,.500,2,4,.500,2,7,9,12,1,0,8,2,28,20.3
34-350,2019-12-15,LAL,A,ATL,W,1,37,12,21,.571,8,11,.727,4,10,.400,4,7,.571,1,12,13,7,1,3,4,1,32,28.8
34-352,2019-12-17,LAL,A,IND,L,1,35,8,20,.400,8,14,.571,0,6,.000,4,8,.500,1,8,9,9,0,0,5,2,20,11.2
34-354,2019-12-19,LAL,A,MIL,L,1,37,8,19,.421,5,12,.417,3,7,.429,2,2,1.000,0,12,12,11,0,0,4,5,21,16.2
34-360,2019-12-25,LAL,H,LAC,L,1,39,9,24,.375,7,12,.583,2,12,.167,3,4,.750,3,6,9,10,2,1,2,3,23,19.8
34-363,2019-12-28,LAL,A,POR,W,1,37,7,15,.467,6,11,.545,1,4,.250,6,8,.750,1,6,7,16,2,1,1,2,21,27.1
34-364,2019-12-29,LAL,H,DAL,W,1,34,3,10,.300,1,6,.167,2,4,.500,5,6,.833,0,6,6,13,2,0,2,2,13,16.9
35-002,2020-01-01,LAL,H,PHO,W,1,38,11,21,.524,10,17,.588,1,4,.250,8,12,.667,2,11,13,12,2,1,5,0,31,29.9
35-004,2020-01-03,LAL,H,NOP,W,1,37,7,17,.412,6,14,.429,1,3,.333,2,5,.400,0,8,8,15,2,0,2,1,17,19.2
35-006,2020-01-05,LAL,H,DET,W,1,35,10,21,.476,10,18,.556,0,3,.000,1,2,.500,3,11,14,11,0,0,3,2,21,19.2
35-008,2020-01-07,LAL,H,NYK,W,1,31,9,19,.474,3,7,.429,6,12,.500,7,7,1.000,0,5,5,5,2,1,4,2,31,24.2
35-011,2020-01-10,LAL,A,DAL,W,1,32,14,25,.560,11,19,.579,3,6,.500,4,5,.800,2,14,16,7,1,0,3,0,35,31.2
35-014,2020-01-13,LAL,H,CLE,W,1,33,12,16,.750,11,13,.846,1,3,.333,6,7,.857,0,2,2,8,1,0,3,2,31,27.6
35-016,2020-01-15,LAL,H,ORL,L,1,36,7,19,.368,5,10,.500,2,9,.222,3,5,.600,0,3,3,19,1,0,5,1,19,17.5
35-019,2020-01-18,LAL,A,HOU,W,1,35,13,25,.520,11,18,.611,2,7,.286,3,5,.600,0,5,5,12,2,0,6,3,31,22.6
35-021,2020-01-20,LAL,A,BOS,L,1,29,5,12,.417,5,10,.500,0,2,.000,5,5,1.000,3,4,7,13,0,0,4,1,15,16.6
35-023,2020-01-22,LAL,A,NYK,W,1,36,9,16,.563,7,11,.636,2,5,.400,1,3,.333,0,6,6,5,5,0,4,0,21,18.9
35-024,2020-01-23,LAL,A,BRK,W,1,34,11,19,.579,8,13,.615,3,6,.500,2,2,1.000,2,9,11,10,1,1,5,0,27,25.9
