Age,Date,Tm,Home,Opp,Win,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
32-332,2017-11-27,CLE,A,PHI,W,1,31,12,23,.522,9,16,.563,3,7,.429,3,4,.750,3,11,14,6,0,0,3,0,30,24.9
32-333,2017-11-28,CLE,H,MIA,W,1,28,10,16,.625,9,13,.692,1,3,.333,0,1,.000,2,10,12,6,5,1,2,1,21,25.3
32-335,2017-11-30,CLE,A,ATL,W,1,38,8,11,.727,5,5,1.000,3,6,.500,5,7,.714,1,5,6,12,2,2,3,3,24,28.5
32-337,2017-12-02,CLE,H,MEM,W,1,39,13,22,.591,13,19,.684,0,3,.000,8,8,1.000,0,2,2,12,0,1,5,1,34,28.1
32-339,2017-12-04,CLE,A,CHI,W,1,34,9,15,.600,7,11,.636,2,4,.500,3,4,.750,0,7,7,6,2,0,2,1,23,21.6
32-341,2017-12-06,CLE,H,SAC,W,1,41,12,18,.667,7,10,.700,5,8,.625,3,6,.500,2,9,11,9,3,2,7,0,32,30.8
32-343,2017-12-08,CLE,A,IND,L,1,39,12,22,.545,11,17,.647,1,5,.200,4,5,.800,2,8,10,8,1,2,3,1,29,26.4
32-344,2017-12-09,CLE,H,PHI,W,1,39,9,23,.391,7,17,.412,2,6,.333,10,12,.833,3,10,13,13,3,0,6,1,30,27.5
32-347,2017-12-12,CLE,H,ATL,W,1,35,11,13,.846,9,10,.900,2,3,.667,1,2,.500,0,7,7,17,2,0,2,4,25,32.3
32-349,2017-12-14,CLE,H,LAL,W,1,39,8,18,.444,7,12,.583,1,6,.167,8,12,.667,1,11,12,12,2,2,5,0,25,24.8
32-351,2017-12-16,CLE,H,UTA,W,1,37,9,15,.600,8,11,.727,1,4,.250,10,10,1.000,0,11,11,10,1,0,5,2,29,27.6
32-352,2017-12-17,CLE,A,WAS,W,1,41,8,23,.348,6,16,.375,2,7,.286,2,3,.667,2,9,11,15,0,1,6,4,20,14.4
